Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,Id
982,1,2015-07-06,8106,710,1,0,0,0,13839
1089,1,2015-07-06,10367,1005,1,0,0,1,581857
1108,1,2015-07-06,5981,630,1,0,0,0,968076
538,7,2015-07-05,0,0,0,0,0,0,595672
742,7,2015-07-05,0,0,0,0,0,0,706571
982,7,2015-07-05,0,0,0,0,0,0,349428
1089,7,2015-07-05,0,0,0,0,0,0,675551
1108,7,2015-07-05,0,0,0,0,0,0,749688
538,6,2015-07-04,2352,355,1,0,0,0,707027
742,6,2015-07-04,7328,775,1,0,0,0,892598
982,6,2015-07-04,5281,475,1,0,0,0,227237
1089,6,2015-07-04,9649,908,1,0,0,0,39604
1108,6,2015-07-04,2942,272,1,0,0,0,982575
538,5,2015-07-03,4651,656,1,1,0,0,689821
742,5,2015-07-03,9090,886,1,1,0,1,448144
982,5,2015-07-03,8527,704,1,1,0,0,934488
1089,5,2015-07-03,11624,1084,1,1,0,1,356863
1108,5,2015-07-03,6351,584,1,1,0,0,774192
538,4,2015-07-02,4771,640,1,1,0,0,185680
742,4,2015-07-02,8992,840,1,1,0,1,814314
982,4,2015-07-02,8320,675,1,1,0,0,95592
1089,4,2015-07-02,11616,973,1,1,0,1,201974
1108,4,2015-07-02,7365,667,1,1,0,0,394744
538,3,2015-07-01,4871,657,1,1,0,0,729196
742,3,2015-07-01,10171,894,1,1,0,1,396091
982,3,2015-07-01,9261,725,1,1,0,0,897817
1089,3,2015-07-01,12765,1045,1,1,0,1,887983
1108,3,2015-07-01,7086,651,1,1,0,0,547922
538,2,2015-06-30,5915,743,1,1,0,0,899054
742,2,2015-06-30,11505,996,1,1,0,1,677368
982,2,2015-06-30,11251,834,1,1,0,0,312071
1089,2,2015-06-30,14775,1172,1,1,0,1,479315
1108,2,2015-06-30,10075,834,1,1,0,0,120601
538,1,2015-06-29,6584,769,1,1,0,0,747037
742,1,2015-06-29,13232,1129,1,1,0,1,147531
982,1,2015-06-29,13722,948,1,1,0,0,191497
1089,1,2015-06-29,15555,1197,1,1,0,1,329167
1108,1,2015-06-29,10085,811,1,1,0,0,228611
538,7,2015-06-28,0,0,0,0,0,0,463026
742,7,2015-06-28,0,0,0,0,0,0,779624
982,7,2015-06-28,0,0,0,0,0,0,718697
1089,7,2015-06-28,0,0,0,0,0,0,399283
1108,7,2015-06-28,0,0,0,0,0,0,692718
538,6,2015-06-27,2148,373,1,0,0,0,506432
742,6,2015-06-27,7783,868,1,0,0,0,2691
982,6,2015-06-27,6870,571,1,0,0,0,937832
1089,6,2015-06-27,10715,1016,1,0,0,0,224054
1108,6,2015-06-27,2550,232,1,0,0,0,478950
538,5,2015-06-26,3444,550,1,0,0,0,373524
742,5,2015-06-26,6958,752,1,0,0,0,511141
982,5,2015-06-26,6529,577,1,0,0,0,226986
1089,5,2015-06-26,9576,940,1,0,0,0,982766
1108,5,2015-06-26,5876,570,1,0,0,0,65569
538,4,2015-06-25,3581,586,1,0,0,0,789664
742,4,2015-06-25,6140,694,1,0,0,0,897547
982,4,2015-06-25,6060,579,1,0,0,0,951207
1089,4,2015-06-25,8045,823,1,0,0,0,229899
1108,4,2015-06-25,4349,523,1,0,0,0,691917
538,3,2015-06-24,3181,521,1,0,0,0,993699
742,3,2015-06-24,6650,762,1,0,0,0,245427
982,3,2015-06-24,6006,541,1,0,0,0,645414
1089,3,2015-06-24,7678,841,1,0,0,0,102523
1108,3,2015-06-24,4766,539,1,0,0,0,851192
538,2,2015-06-23,3239,576,1,0,0,0,333596
742,2,2015-06-23,7034,766,1,0,0,0,624676
982,2,2015-06-23,6566,589,1,0,0,0,165695
1089,2,2015-06-23,8433,842,1,0,0,0,491942
1108,2,2015-06-23,4676,511,1,0,0,0,193191
538,1,2015-06-22,4251,645,1,0,0,0,5247
742,1,2015-06-22,6003,713,1,0,0,0,146249
982,1,2015-06-22,7724,662,1,0,0,0,141987
1089,1,2015-06-22,8509,813,1,0,0,0,418082
1108,1,2015-06-22,5477,549,1,0,0,0,650960
538,7,2015-06-21,0,0,0,0,0,0,815542
742,7,2015-06-21,0,0,0,0,0,0,39666
982,7,2015-06-21,0,0,0,0,0,0,662295
1089,7,2015-06-21,0,0,0,0,0,0,224483
1108,7,2015-06-21,0,0,0,0,0,0,231758
538,6,2015-06-20,2009,342,1,0,0,0,305829
742,6,2015-06-20,7474,863,1,0,0,0,324412
982,6,2015-06-20,6422,555,1,0,0,0,650063
1089,6,2015-06-20,9787,992,1,0,0,0,376141
1108,6,2015-06-20,1989,201,1,0,0,0,998488
538,5,2015-06-19,4075,597,1,1,0,0,405827
742,5,2015-06-19,9209,900,1,1,0,0,549052
982,5,2015-06-19,8845,760,1,1,0,0,632365
1089,5,2015-06-19,12328,1047,1,1,0,0,791731
1108,5,2015-06-19,6587,666,1,1,0,0,815381
538,4,2015-06-18,4051,601,1,1,0,0,121455
742,4,2015-06-18,8603,876,1,1,0,0,191389
982,4,2015-06-18,9528,775,1,1,0,0,299185
1089,4,2015-06-18,11235,990,1,1,0,0,778937
1108,4,2015-06-18,7180,672,1,1,0,0,693073
538,3,2015-06-17,4163,630,1,1,0,0,582777
742,3,2015-06-17,9242,900,1,1,0,0,333745
982,3,2015-06-17,9437,721,1,1,0,0,353137
1089,3,2015-06-17,10625,1000,1,1,0,0,437970
1108,3,2015-06-17,7018,637,1,1,0,0,970078
538,2,2015-06-16,5112,680,1,1,0,0,215821
742,2,2015-06-16,9458,913,1,1,0,0,121343
982,2,2015-06-16,10388,794,1,1,0,0,757237
1089,2,2015-06-16,12991,1159,1,1,0,0,302976
1108,2,2015-06-16,8749,796,1,1,0,0,244196
538,1,2015-06-15,5990,811,1,1,0,0,60954
742,1,2015-06-15,12876,1200,1,1,0,0,937741
982,1,2015-06-15,14792,1042,1,1,0,0,553674
1089,1,2015-06-15,14759,1221,1,1,0,0,251596
1108,1,2015-06-15,11551,907,1,1,0,0,889547
538,7,2015-06-14,0,0,0,0,0,0,592301
742,7,2015-06-14,0,0,0,0,0,0,192313
982,7,2015-06-14,0,0,0,0,0,0,634432
1089,7,2015-06-14,0,0,0,0,0,0,506140
1108,7,2015-06-14,0,0,0,0,0,0,371464
538,6,2015-06-13,2617,398,1,0,0,0,564388
742,6,2015-06-13,7357,836,1,0,0,0,219124
982,6,2015-06-13,6035,551,1,0,0,0,830089
1089,6,2015-06-13,11645,1085,1,0,0,0,833889
1108,6,2015-06-13,2719,236,1,0,0,0,940702
538,5,2015-06-12,3556,574,1,0,0,0,293165
742,5,2015-06-12,6943,775,1,0,0,0,42470
982,5,2015-06-12,6239,587,1,0,0,0,729198
1089,5,2015-06-12,9751,951,1,0,0,0,431375
1108,5,2015-06-12,4536,510,1,0,0,0,2009
538,4,2015-06-11,3289,518,1,0,0,0,995529
742,4,2015-06-11,6833,764,1,0,0,0,399675
982,4,2015-06-11,6327,588,1,0,0,0,220168
1089,4,2015-06-11,9412,957,1,0,0,0,438171
1108,4,2015-06-11,4854,517,1,0,0,0,378940
538,3,2015-06-10,4002,591,1,0,0,0,408678
742,3,2015-06-10,6764,743,1,0,0,0,643253
982,3,2015-06-10,6688,598,1,0,0,0,99530
1089,3,2015-06-10,8728,886,1,0,0,0,841546
1108,3,2015-06-10,4398,466,1,0,0,0,771494
538,2,2015-06-09,3539,579,1,0,0,0,806398
742,2,2015-06-09,6630,798,1,0,0,0,328813
982,2,2015-06-09,7004,652,1,0,0,0,674312
1089,2,2015-06-09,8764,869,1,0,0,0,697974
1108,2,2015-06-09,4726,544,1,0,0,0,10827
538,1,2015-06-08,4230,678,1,0,0,0,281145
742,1,2015-06-08,7288,855,1,0,0,0,520086
982,1,2015-06-08,8076,717,1,0,0,0,679684
1089,1,2015-06-08,9581,965,1,0,0,0,614564
1108,1,2015-06-08,5440,554,1,0,0,0,670331
538,7,2015-06-07,0,0,0,0,0,0,142770
742,7,2015-06-07,0,0,0,0,0,0,241682
982,7,2015-06-07,0,0,0,0,0,0,353563
1089,7,2015-06-07,0,0,0,0,0,0,842938
1108,7,2015-06-07,0,0,0,0,0,0,396069
538,6,2015-06-06,2354,352,1,0,0,0,730771
742,6,2015-06-06,8338,905,1,0,0,0,264160
982,6,2015-06-06,5771,510,1,0,0,0,131585
1089,6,2015-06-06,10226,1080,1,0,0,0,918936
1108,6,2015-06-06,2528,244,1,0,0,0,449805
538,5,2015-06-05,4178,617,1,1,0,0,357720
742,5,2015-06-05,9904,1017,1,1,0,0,884847
982,5,2015-06-05,9090,785,1,1,0,0,231568
1089,5,2015-06-05,13988,1229,1,1,0,0,65141
1108,5,2015-06-05,6599,607,1,1,0,0,292
538,4,2015-06-04,4693,611,1,1,0,0,821543
742,4,2015-06-04,0,0,0,1,a,0,493819
982,4,2015-06-04,8588,712,1,1,a,0,525948
1089,4,2015-06-04,0,0,0,1,a,0,815893
1108,4,2015-06-04,7404,693,1,1,a,0,342385
538,3,2015-06-03,4677,642,1,1,0,0,600027
742,3,2015-06-03,11671,1166,1,1,0,0,361821
982,3,2015-06-03,8917,683,1,1,0,0,659989
1089,3,2015-06-03,13625,1231,1,1,0,0,285234
1108,3,2015-06-03,6662,619,1,1,0,0,527962
538,2,2015-06-02,5333,658,1,1,0,0,458884
742,2,2015-06-02,10823,1010,1,1,0,0,825994
982,2,2015-06-02,9712,789,1,1,0,0,75052
1089,2,2015-06-02,13286,1105,1,1,0,0,572920
1108,2,2015-06-02,8812,830,1,1,0,0,725056
538,1,2015-06-01,6077,759,1,1,0,0,708222
742,1,2015-06-01,14475,1226,1,1,0,0,969818
982,1,2015-06-01,14495,1089,1,1,0,0,705826
1089,1,2015-06-01,15673,1328,1,1,0,0,524065
1108,1,2015-06-01,10916,906,1,1,0,0,143035
538,7,2015-05-31,0,0,0,0,0,0,368259
742,7,2015-05-31,0,0,0,0,0,0,231599
982,7,2015-05-31,0,0,0,0,0,0,883161
1089,7,2015-05-31,0,0,0,0,0,0,256427
1108,7,2015-05-31,0,0,0,0,0,0,596504
538,6,2015-05-30,2195,324,1,0,0,0,435526
742,6,2015-05-30,9379,967,1,0,0,0,578073
982,6,2015-05-30,7340,619,1,0,0,0,177352
1089,6,2015-05-30,12582,1113,1,0,0,0,376107
1108,6,2015-05-30,2341,235,1,0,0,0,942460
538,5,2015-05-29,3657,570,1,0,0,0,960478
742,5,2015-05-29,9705,938,1,0,0,0,302314
982,5,2015-05-29,9162,770,1,0,0,0,296360
1089,5,2015-05-29,12144,1087,1,0,0,0,444315
1108,5,2015-05-29,6086,587,1,0,0,0,128231
538,4,2015-05-28,3036,513,1,0,0,0,687502
742,4,2015-05-28,6912,748,1,0,0,0,697347
982,4,2015-05-28,7299,624,1,0,0,0,747044
1089,4,2015-05-28,9230,895,1,0,0,0,611312
1108,4,2015-05-28,4984,553,1,0,0,0,202794
538,3,2015-05-27,3540,576,1,0,0,0,714623
742,3,2015-05-27,6799,792,1,0,0,0,590269
982,3,2015-05-27,7596,658,1,0,0,0,1005702
1089,3,2015-05-27,8645,870,1,0,0,0,743855
1108,3,2015-05-27,5422,566,1,0,0,0,929827
538,2,2015-05-26,4484,694,1,0,0,0,543247
742,2,2015-05-26,7329,823,1,0,0,1,63749
982,2,2015-05-26,8466,744,1,0,0,0,929912
1089,2,2015-05-26,10197,976,1,0,0,1,471719
1108,2,2015-05-26,5631,634,1,0,0,0,687561
538,1,2015-05-25,0,0,0,0,a,0,251333
742,1,2015-05-25,0,0,0,0,a,0,564744
982,1,2015-05-25,0,0,0,0,a,0,683653
1089,1,2015-05-25,0,0,0,0,a,0,140779
1108,1,2015-05-25,0,0,0,0,a,0,133239
538,7,2015-05-24,0,0,0,0,0,0,468187
742,7,2015-05-24,0,0,0,0,0,0,81466
982,7,2015-05-24,0,0,0,0,0,0,936379
1089,7,2015-05-24,0,0,0,0,0,0,516113
1108,7,2015-05-24,0,0,0,0,0,0,727786
538,6,2015-05-23,2656,378,1,0,0,0,279216
742,6,2015-05-23,7708,898,1,0,0,0,437025
982,6,2015-05-23,5850,555,1,0,0,0,680948
1089,6,2015-05-23,10502,1037,1,0,0,0,58498
1108,6,2015-05-23,2375,228,1,0,0,0,281659
538,5,2015-05-22,4700,688,1,1,0,0,514287
742,5,2015-05-22,8729,949,1,1,0,0,962141
982,5,2015-05-22,9372,776,1,1,0,0,559260
1089,5,2015-05-22,10502,1027,1,1,0,0,755399
1108,5,2015-05-22,5905,597,1,1,0,0,553133
538,4,2015-05-21,5209,751,1,1,0,0,980899
742,4,2015-05-21,7838,825,1,1,0,0,1007778
982,4,2015-05-21,8411,697,1,1,0,0,263321
1089,4,2015-05-21,9690,935,1,1,0,0,345740
1108,4,2015-05-21,6563,614,1,1,0,0,275057
538,3,2015-05-20,5460,754,1,1,0,0,714692
742,3,2015-05-20,8498,874,1,1,0,0,40262
982,3,2015-05-20,9290,740,1,1,0,0,674970
1089,3,2015-05-20,10507,972,1,1,0,0,521299
1108,3,2015-05-20,6665,606,1,1,0,0,615766
538,2,2015-05-19,5716,767,1,1,0,0,686082
742,2,2015-05-19,9224,917,1,1,0,0,836515
982,2,2015-05-19,10651,863,1,1,0,0,184917
1089,2,2015-05-19,10494,1021,1,1,0,0,309717
1108,2,2015-05-19,7968,737,1,1,0,0,819921
538,1,2015-05-18,7953,983,1,1,0,0,745064
742,1,2015-05-18,11293,1107,1,1,0,0,287157
982,1,2015-05-18,11755,898,1,1,0,0,765636
1089,1,2015-05-18,12798,1153,1,1,0,0,506458
1108,1,2015-05-18,9298,775,1,1,0,0,18121
538,7,2015-05-17,0,0,0,0,0,0,713473
742,7,2015-05-17,0,0,0,0,0,0,350685
982,7,2015-05-17,0,0,0,0,0,0,260149
1089,7,2015-05-17,0,0,0,0,0,0,439040
1108,7,2015-05-17,0,0,0,0,0,0,566257
538,6,2015-05-16,3161,453,1,0,0,0,709766
742,6,2015-05-16,8074,922,1,0,0,0,22571
982,6,2015-05-16,5532,493,1,0,0,0,540511
1089,6,2015-05-16,10420,1009,1,0,0,0,814098
1108,6,2015-05-16,1741,207,1,0,0,0,671231
538,5,2015-05-15,5108,731,1,0,0,1,785610
742,5,2015-05-15,8576,956,1,0,0,0,327231
982,5,2015-05-15,9247,806,1,0,0,1,569071
1089,5,2015-05-15,12306,1166,1,0,0,0,956273
1108,5,2015-05-15,5213,589,1,0,0,1,420440
538,4,2015-05-14,0,0,0,0,a,0,560154
742,4,2015-05-14,0,0,0,0,a,0,151780
982,4,2015-05-14,0,0,0,0,a,0,614676
1089,4,2015-05-14,0,0,0,0,a,0,348475
1108,4,2015-05-14,0,0,0,0,a,0,774906
538,3,2015-05-13,5183,732,1,0,0,0,269196
742,3,2015-05-13,9140,1061,1,0,0,0,614243
982,3,2015-05-13,7836,728,1,0,0,0,485540
1089,3,2015-05-13,11149,1169,1,0,0,0,378305
1108,3,2015-05-13,5700,651,1,0,0,0,328556
538,2,2015-05-12,4711,732,1,0,0,0,270244
742,2,2015-05-12,6978,759,1,0,0,0,20455
982,2,2015-05-12,7392,625,1,0,0,0,474617
1089,2,2015-05-12,9078,964,1,0,0,0,12367
1108,2,2015-05-12,5313,585,1,0,0,0,431136
538,1,2015-05-11,4923,773,1,0,0,0,166654
742,1,2015-05-11,6126,752,1,0,0,0,154302
982,1,2015-05-11,5694,565,1,0,0,0,656674
1089,1,2015-05-11,8222,858,1,0,0,0,282361
1108,1,2015-05-11,5343,598,1,0,0,0,42234
538,7,2015-05-10,0,0,0,0,0,0,921883
742,7,2015-05-10,0,0,0,0,0,0,963596
982,7,2015-05-10,0,0,0,0,0,0,217742
1089,7,2015-05-10,0,0,0,0,0,0,471147
1108,7,2015-05-10,0,0,0,0,0,0,189932
538,6,2015-05-09,2644,410,1,0,0,0,73970
742,6,2015-05-09,8229,985,1,0,0,0,959733
982,6,2015-05-09,6208,585,1,0,0,0,622933
1089,6,2015-05-09,12651,1223,1,0,0,0,50851
1108,6,2015-05-09,2430,249,1,0,0,0,269186
538,5,2015-05-08,4897,722,1,1,0,0,45573
742,5,2015-05-08,8590,935,1,1,0,0,624074
982,5,2015-05-08,9226,779,1,1,0,0,811474
1089,5,2015-05-08,11688,1104,1,1,0,0,730180
1108,5,2015-05-08,6661,672,1,1,0,0,629738
538,4,2015-05-07,5396,775,1,1,0,0,737752
742,4,2015-05-07,8509,894,1,1,0,0,144695
982,4,2015-05-07,9324,764,1,1,0,0,1007509
1089,4,2015-05-07,11273,1073,1,1,0,0,186411
1108,4,2015-05-07,7254,720,1,1,0,0,514229
538,3,2015-05-06,5301,752,1,1,0,0,922537
742,3,2015-05-06,9243,905,1,1,0,0,598255
982,3,2015-05-06,9166,731,1,1,0,0,587098
1089,3,2015-05-06,11273,1032,1,1,0,0,326300
1108,3,2015-05-06,7249,681,1,1,0,0,523623
538,2,2015-05-05,5238,715,1,1,0,0,770418
742,2,2015-05-05,9346,882,1,1,0,0,964740
982,2,2015-05-05,8995,724,1,1,0,0,154462
1089,2,2015-05-05,12409,1072,1,1,0,0,801044
1108,2,2015-05-05,7893,760,1,1,0,0,274030
538,1,2015-05-04,6665,915,1,1,0,0,41631
742,1,2015-05-04,13230,1219,1,1,0,0,254722
982,1,2015-05-04,12975,989,1,1,0,0,867828
1089,1,2015-05-04,14261,1254,1,1,0,0,85226
1108,1,2015-05-04,10001,897,1,1,0,0,509110
538,7,2015-05-03,0,0,0,0,0,0,708080
742,7,2015-05-03,0,0,0,0,0,0,504358
982,7,2015-05-03,0,0,0,0,0,0,576567
1089,7,2015-05-03,0,0,0,0,0,0,132616
1108,7,2015-05-03,0,0,0,0,0,0,393338
538,6,2015-05-02,3666,517,1,0,0,0,678496
742,6,2015-05-02,10891,1102,1,0,0,0,64654
982,6,2015-05-02,8679,764,1,0,0,0,206432
1089,6,2015-05-02,14275,1353,1,0,0,0,706400
1108,6,2015-05-02,3152,303,1,0,0,0,485548
538,5,2015-05-01,0,0,0,1,a,0,456592
742,5,2015-05-01,0,0,0,1,a,0,701942
982,5,2015-05-01,0,0,0,1,a,0,792957
1089,5,2015-05-01,0,0,0,1,a,0,154621
1108,5,2015-05-01,0,0,0,1,a,0,524718
538,4,2015-04-30,5654,817,1,1,0,0,152760
742,4,2015-04-30,12225,1196,1,1,0,0,428542
982,4,2015-04-30,9332,814,1,1,0,0,300012
1089,4,2015-04-30,14853,1343,1,1,0,0,656324
1108,4,2015-04-30,8770,834,1,1,0,0,935713
538,3,2015-04-29,5037,703,1,1,0,0,176165
742,3,2015-04-29,10422,964,1,1,0,0,415889
982,3,2015-04-29,10153,776,1,1,0,0,491710
1089,3,2015-04-29,12471,1110,1,1,0,0,333410
1108,3,2015-04-29,8804,797,1,1,0,0,563678
538,2,2015-04-28,5126,711,1,1,0,0,759937
742,2,2015-04-28,9488,939,1,1,0,0,849821
982,2,2015-04-28,9732,732,1,1,0,0,287639
1089,2,2015-04-28,12270,1049,1,1,0,0,747056
1108,2,2015-04-28,7542,646,1,1,0,0,445067
538,1,2015-04-27,6208,789,1,1,0,0,481693
742,1,2015-04-27,11752,1101,1,1,0,0,449657
982,1,2015-04-27,12727,914,1,1,0,0,508406
1089,1,2015-04-27,13634,1210,1,1,0,0,693411
1108,1,2015-04-27,9082,780,1,1,0,0,285713
538,7,2015-04-26,0,0,0,0,0,0,702405
742,7,2015-04-26,0,0,0,0,0,0,945492
982,7,2015-04-26,0,0,0,0,0,0,889675
1089,7,2015-04-26,0,0,0,0,0,0,775571
1108,7,2015-04-26,0,0,0,0,0,0,77539
538,6,2015-04-25,2480,358,1,0,0,0,8987
742,6,2015-04-25,7897,916,1,0,0,0,1010920
982,6,2015-04-25,5798,518,1,0,0,0,37138
1089,6,2015-04-25,10014,1007,1,0,0,0,44096
1108,6,2015-04-25,2182,233,1,0,0,0,629915
538,5,2015-04-24,3010,491,1,0,0,0,880199
742,5,2015-04-24,6827,789,1,0,0,0,256331
982,5,2015-04-24,6368,619,1,0,0,0,706998
1089,5,2015-04-24,7838,850,1,0,0,0,293260
1108,5,2015-04-24,4011,475,1,0,0,0,446595
538,4,2015-04-23,3502,544,1,0,0,0,719560
742,4,2015-04-23,5863,748,1,0,0,0,312701
982,4,2015-04-23,6312,605,1,0,0,0,599198
1089,4,2015-04-23,8432,913,1,0,0,0,911220
1108,4,2015-04-23,4335,543,1,0,0,0,310746
538,3,2015-04-22,3710,560,1,0,0,0,277032
742,3,2015-04-22,5724,687,1,0,0,0,792519
982,3,2015-04-22,6278,571,1,0,0,0,145722
1089,3,2015-04-22,7547,829,1,0,0,0,741478
1108,3,2015-04-22,4593,514,1,0,0,0,314409
538,2,2015-04-21,4080,628,1,0,0,0,859677
742,2,2015-04-21,6333,752,1,0,0,0,748057
982,2,2015-04-21,5763,546,1,0,0,0,774617
1089,2,2015-04-21,8248,876,1,0,0,0,846416
1108,2,2015-04-21,4606,562,1,0,0,0,391928
538,1,2015-04-20,4155,649,1,0,0,0,620731
742,1,2015-04-20,6608,791,1,0,0,0,404763
982,1,2015-04-20,6061,589,1,0,0,0,544560
1089,1,2015-04-20,8785,941,1,0,0,0,490296
1108,1,2015-04-20,4426,515,1,0,0,0,285348
538,7,2015-04-19,0,0,0,0,0,0,431618
742,7,2015-04-19,0,0,0,0,0,0,333210
982,7,2015-04-19,0,0,0,0,0,0,545602
1089,7,2015-04-19,0,0,0,0,0,0,911810
1108,7,2015-04-19,0,0,0,0,0,0,942893
538,6,2015-04-18,2390,355,1,0,0,0,619936
742,6,2015-04-18,8542,931,1,0,0,0,703059
982,6,2015-04-18,5576,534,1,0,0,0,199575
1089,6,2015-04-18,9733,1033,1,0,0,0,113093
1108,6,2015-04-18,1929,212,1,0,0,0,211283
538,5,2015-04-17,4001,576,1,1,0,1,30910
742,5,2015-04-17,8469,890,1,1,0,0,433248
982,5,2015-04-17,9832,832,1,1,0,0,662221
1089,5,2015-04-17,12235,1112,1,1,0,0,722974
1108,5,2015-04-17,7201,681,1,1,0,0,89136
538,4,2015-04-16,3906,581,1,1,0,1,505374
742,4,2015-04-16,8930,908,1,1,0,0,507767
982,4,2015-04-16,8795,748,1,1,0,0,314528
1089,4,2015-04-16,10674,995,1,1,0,0,837061
1108,4,2015-04-16,7072,695,1,1,0,0,528833
538,3,2015-04-15,3632,517,1,1,0,1,547131
742,3,2015-04-15,7484,794,1,1,0,0,590147
982,3,2015-04-15,7940,650,1,1,0,0,155653
1089,3,2015-04-15,10102,914,1,1,0,0,72101
1108,3,2015-04-15,7222,646,1,1,0,0,925934
538,2,2015-04-14,4565,642,1,1,0,1,503619
742,2,2015-04-14,9114,911,1,1,0,0,606596
982,2,2015-04-14,10331,801,1,1,0,0,494751
1089,2,2015-04-14,11397,1074,1,1,0,0,267144
1108,2,2015-04-14,8536,815,1,1,0,0,366915
538,1,2015-04-13,5671,762,1,1,0,1,806452
742,1,2015-04-13,13040,1182,1,1,0,0,214608
982,1,2015-04-13,12816,1027,1,1,0,0,222485
1089,1,2015-04-13,14407,1279,1,1,0,0,998381
1108,1,2015-04-13,11029,930,1,1,0,0,147864
538,7,2015-04-12,0,0,0,0,0,0,687914
742,7,2015-04-12,0,0,0,0,0,0,334375
982,7,2015-04-12,0,0,0,0,0,0,23823
1089,7,2015-04-12,0,0,0,0,0,0,880152
1108,7,2015-04-12,0,0,0,0,0,0,896834
538,6,2015-04-11,2352,343,1,0,0,0,122985
742,6,2015-04-11,7841,883,1,0,0,0,162747
982,6,2015-04-11,5945,569,1,0,0,0,269709
1089,6,2015-04-11,10187,1036,1,0,0,0,815046
1108,6,2015-04-11,2132,196,1,0,0,0,66482
538,5,2015-04-10,3239,490,1,0,0,1,1002339
742,5,2015-04-10,5925,704,1,0,0,1,435644
982,5,2015-04-10,6802,611,1,0,0,1,847125
1089,5,2015-04-10,8154,872,1,0,0,1,93346
1108,5,2015-04-10,4226,491,1,0,0,1,677965
538,4,2015-04-09,3698,560,1,0,0,1,461363
742,4,2015-04-09,6027,691,1,0,0,1,879743
982,4,2015-04-09,6142,590,1,0,0,1,486127
1089,4,2015-04-09,8041,845,1,0,0,1,69286
1108,4,2015-04-09,5219,541,1,0,0,1,258910
538,3,2015-04-08,3420,562,1,0,0,1,751150
742,3,2015-04-08,6629,783,1,0,0,1,717175
982,3,2015-04-08,7734,705,1,0,0,1,474017
1089,3,2015-04-08,9051,904,1,0,0,1,362896
1108,3,2015-04-08,4940,544,1,0,0,1,343135
538,2,2015-04-07,4059,656,1,0,0,1,719476
742,2,2015-04-07,7211,845,1,0,0,1,691687
982,2,2015-04-07,8190,756,1,0,0,1,514600
